flight id:101
flight code:MiG-29A
origin:RU
date:2011-06-01
from:novorossiysk
to:mineralnyevody
motor(s):2
mass aircraft:10922.041768
mass fuel:10922.041768
lift coef:1.604765498192893
drag coef:0.011066253455886965

timestamp,longitude,latitude,altitude,roll,pitch,yaw,u,v,heading,air_speed,engine_0,engine_1,temperature_in,humidity_in,pressure_in,heart_rate,oxygen_mask
1306893621⋅61,3⋅016743,5⋅5767575,-1⋅0,-1⋅0,2⋅0,-1⋅0,298787⋅0,-49925⋅12,-1⋅0,41⋅36980881519973,4295705⋅335457829,4295705⋅335457829,24⋅041080983625054,7⋅7919675897457,26138⋅141499513786,93⋅80000000000001,26⋅853147822663274
1306893624⋅34,3⋅0156858,5⋅5759625,-1⋅0,-1⋅0,1⋅9,-1⋅0,298708⋅5,-50018⋅59,-1⋅0,41⋅36980881519973,3398294⋅6944495123,3398294⋅6944495123,24⋅360252437810942,7⋅735686986778673,25531⋅849255761692,95⋅2,26⋅834185661683396
1306893626⋅45,3⋅0147038,5⋅575224,-1⋅0,-1⋅0,1⋅8,-1⋅0,298635⋅56,-50105⋅43,-1⋅0,50⋅403251517092144,2546820⋅9010321447,2546820⋅9010321447,22⋅82532787882378,7⋅830447785555377,25612⋅23371215317,94⋅5,26⋅815223500703517
1306893628⋅97,3⋅0133433,5⋅5742009,-1⋅0,-1⋅0,1⋅7,-1⋅0,298534⋅53,-50225⋅73,-1⋅0,58⋅99244588363753,1783391⋅4228477473,1783391⋅4228477473,24⋅689905314490172,7⋅823811350668307,24736⋅25420821536,94⋅0,26⋅79626899501673
1306893631⋅91,3⋅011488,5⋅5728056,23⋅66,-1⋅0,2⋅2,-1⋅0,298396⋅78,-50389⋅8,-1⋅0,70⋅02160333525305,1218149⋅6084753368,1218149⋅6084753368,24⋅341618805833008,7⋅703095944645417,25468⋅05989616506,93⋅00000000000001,26⋅796207752672025
1306893632⋅33,3⋅011199,5⋅5725882,23⋅71,-1⋅0,4⋅8,-1⋅0,298375⋅31,-50415⋅36,-1⋅0,76⋅12781394202852,1218149⋅608475337,1218149⋅608475337,24⋅341618805833004,7⋅703095944645417,25468⋅05989616506,93⋅0,26⋅79620775267202
1306893632⋅75,3⋅0109056,5⋅5723675,23⋅74,-1⋅0,6⋅5,-1⋅0,298353⋅5,-50441⋅31,-1⋅0,77⋅35960574963447,1783391⋅4228477473,1783391⋅4228477473,24⋅689905314490172,7⋅823811350668308,24736⋅25420821536,94⋅00000000000001,26⋅796268995016728
1306893633⋅17,3⋅0106078,5⋅5721436,23⋅76,-1⋅0,7⋅6,-1⋅0,298331⋅41,-50467⋅64,-1⋅0,78⋅47983862085287,2546820⋅9010321447,2546820⋅9010321447,22⋅825327878823785,7⋅8304477855553785,25612⋅233712153167,94⋅50000000000001,26⋅815223500703517
1306893633⋅59,3⋅0103,5⋅5719121,23⋅77,-1⋅0,8⋅4,-1⋅0,298308⋅53,-50494⋅87,-1⋅0,81⋅33111089943529,3398294⋅6944495123,3398294⋅6944495123,24⋅360252437810942,7⋅735686986778675,25531⋅8492557617,95⋅20000000000002,26⋅834185661683392
1306893634⋅01,3⋅0099959,5⋅5716834,23⋅77,-1⋅0,8⋅8,-1⋅0,298285⋅97,-50521⋅75,-1⋅0,80⋅2023111776678,4295705⋅335457829,4295705⋅335457829,24⋅041080983625058,7⋅791967589745701,26138⋅14149951379,93⋅80000000000001,26⋅853147822663267
1306893634⋅43,3⋅0096766,5⋅5714432,23⋅79,-1⋅0,9⋅2,-1⋅0,298262⋅25,-50550⋅0,-1⋅0,84⋅47616810404388,4709977⋅183147214,4709977⋅183147214,24⋅581340591186112,7⋅8008238974700586,25578⋅847224863108,94⋅50000000000001,26⋅87212529422932
1306893634⋅85,3⋅0093561,5⋅5712022,23⋅85,-1⋅0,9⋅5,-1⋅0,298238⋅44,-50578⋅34,-1⋅0,84⋅77859588237874,4909571⋅688778706,4909571⋅688778706,23⋅445138674153846,7⋅828495419329229,25636⋅624504880663,94⋅60000000000001,26⋅891148697553902
1306893635⋅27,3⋅0090283,5⋅5709556,24⋅07,-1⋅0,10⋅0,-1⋅0,298214⋅09,-50607⋅33,-1⋅0,86⋅7915921118556,5003769⋅587201293,5003769⋅587201293,25⋅026940917542206,7⋅628304196613628,25484⋅87372753401,97⋅5,26⋅91034051732643
1306893635⋅69,3⋅0086922,5⋅5707027,24⋅53,-1⋅0,10⋅3,-1⋅0,298189⋅16,-50637⋅06,-1⋅0,89⋅0327576950145,5011423⋅412342837,5011423⋅412342837,24⋅759869111912593,7⋅451093219933592,26077⋅991009204674,97⋅6,26⋅929884480581027
1306893636⋅11,3⋅0083541,5⋅5704483,25⋅3,-1⋅0,10⋅5,-1⋅0,298164⋅03,-50666⋅98,-1⋅0,89⋅69845014000383,5115259⋅164674375,5115259⋅164674375,25⋅353177537967216,7⋅40484760321362,25462⋅451239499645,97⋅1,26⋅931139948647516
1306893640⋅73,3⋅0041807,5⋅5672813,57⋅59,-1⋅0,10⋅8,-1⋅0,297854⋅25,-51039⋅15,-1⋅0,101⋅69215494075546,5408616⋅327147197,5408616⋅327147197,23⋅847683614171657,7⋅259434912118197,25444⋅72642654876,97⋅6,26⋅957076081630895
1306893641⋅57,3⋅0032986,5⋅5666018,69⋅15,0⋅4,10⋅7,-1⋅0,297788⋅84,-51118⋅94,-1⋅0,120⋅24660637288103,5682221⋅050023141,5682221⋅050023141,24⋅180191331787537,7⋅147246761439154,25280⋅06683319544,95⋅69999999999999,26⋅99183876754516
1306893641⋅99,3⋅002843,5⋅5662483,75⋅69,0⋅5,10⋅7,-1⋅0,297755⋅06,-51160⋅44,-1⋅0,125⋅00416883473669,6839893⋅162604545,6839893⋅162604545,24⋅01366336300206,6⋅839107127328488,24876⋅605070012934,95⋅20000000000002,27⋅031592704553038
1306893642⋅41,3⋅0023762,5⋅5658825,82⋅78,0⋅6,10⋅7,-1⋅0,297720⋅5,-51203⋅34,-1⋅0,128⋅89340506480391,8604122⋅407874726,8604122⋅407874726,22⋅91155463127394,6⋅70171947454674,24218⋅286089979778,94⋅70000000000002,27⋅076766589067468
1306893643⋅25,3⋅0014249,5⋅5651261,98⋅22,0⋅9,10⋅7,-1⋅0,297650⋅13,-51292⋅01,-1⋅0,132⋅6514928383893,10834653⋅215679163,10834653⋅215679163,24⋅365967685888034,6⋅937918344925838,23452⋅12898328679,94⋅80000000000001,27⋅133760246110338
1306893643⋅67,3⋅0009289,5⋅5647285,106⋅63,1⋅1,10⋅3,-1⋅0,297613⋅44,-51338⋅59,-1⋅0,139⋅22992188923695,13693300⋅243728282,13693300⋅243728282,26⋅322000122078848,6⋅9607156495155325,23451⋅54673095202,92⋅5,27⋅197176694054345
1306893644⋅09,3⋅0004289,5⋅5643261,115⋅15,1⋅4,10⋅1,-1⋅0,297576⋅47,-51385⋅73,-1⋅0,140⋅71017278069925,16556047⋅361220397,16556047⋅361220397,28⋅713618971213624,7⋅23510062563121,23638⋅639942489106,92⋅4,27⋅267069519951107
1306893644⋅51,2⋅9999151,5⋅563911,123⋅82,1⋅7,9⋅8,-1⋅0,297538⋅5,-51434⋅35,-1⋅0,144⋅95732360004178,18574109⋅393013716,18574109⋅393013716,28⋅438509904782812,7⋅129290681642461,23511⋅589856219834,90⋅0,27⋅343431068507538
1306893644⋅93,2⋅9993971,5⋅5634909,132⋅35,2⋅0,9⋅6,223⋅9,297500⋅25,-51483⋅55,-1⋅0,146⋅39201468585958,20343256⋅485880934,20343256⋅485880934,26⋅41335860591226,7⋅001170960803907,23102⋅30804799768,90⋅0,27⋅42597043858628
1306893645⋅35,2⋅9988622,5⋅5630555,140⋅89,2⋅4,9⋅4,223⋅9,297460⋅72,-51534⋅52,-1⋅0,151⋅54295833376128,21650233⋅49187014,21650233⋅49187014,27⋅46268241064523,6⋅792429590756239,23497⋅626687844022,89⋅6,27⋅514457971394677
1306893645⋅77,2⋅9983199,5⋅562613,149⋅2,2⋅8,9⋅4,224⋅0,297420⋅66,-51586⋅32,-1⋅0,153⋅7840721324096,22657582⋅57220925,22657582⋅57220925,28⋅591564497173657,6⋅925877978897183,23648⋅412850489593,89⋅2,27⋅58458811137718
