flight id:201
flight code:MiG-23MLD
origin:RU
date:2011-06-01
from:gelendzhik
to:sochi-adler
motor(s):1
mass aircraft:10550.096328
mass fuel:10550.096328
lift coef:1.9060340730520209
drag coef:0.012773573396515615

timestamp,longitude,latitude,altitude,roll,pitch,yaw,u,v,heading,air_speed,engine_0,temperature_in,humidity_in,pressure_in,heart_rate,oxygen_mask
1306893628⋅55,10⋅0324795,2⋅6236974,-1⋅0,-1⋅0,1⋅3,-1⋅0,903670⋅75,-319595⋅84,-1⋅0,153⋅3277077345789,7205907⋅944210284,21⋅665396266505656,8⋅248254741065972,25691⋅61633112278,89⋅9,28⋅3515078559779
1306893631⋅91,10⋅0309981,2⋅6252013,466⋅78,-1⋅0,2⋅5,-1⋅0,903523⋅38,-319445⋅97,-1⋅0,153⋅3277077345789,14324034⋅095555916,22⋅116173030528298,8⋅305780080018952,25075⋅02414827897,87⋅10000000000001,28⋅35121695484055
1306893632⋅33,10⋅030791,2⋅6254116,466⋅87,-1⋅0,4⋅8,-1⋅0,903502⋅75,-319425⋅03,-1⋅0,71⋅66433863230134,26862591⋅529203847,22⋅133824097559632,8⋅54393129930773,24948⋅120106411556,86⋅80000000000001,28⋅351079159564957
1306893632⋅75,10⋅0305802,2⋅6256255,466⋅92,-1⋅0,6⋅3,-1⋅0,903481⋅75,-319403⋅72,-1⋅0,72⋅90824495680407,39806494⋅546953656,22⋅38584020765702,8⋅611889275593855,25271⋅881772354944,88⋅9,28⋅351010261927158
1306893633⋅17,10⋅0303658,2⋅6258432,466⋅96,-1⋅0,7⋅3,-1⋅0,903460⋅44,-319382⋅03,-1⋅0,74⋅07443755998673,48498003⋅24802639,21⋅738589377989122,8⋅685218082313629,25712⋅08211643167,89⋅0,28⋅35097198546172
1306893633⋅59,10⋅0301437,2⋅6260687,466⋅99,-1⋅0,7⋅9,-1⋅0,903438⋅31,-319359⋅56,-1⋅0,76⋅76125896573124,48498003⋅24802638,21⋅738589377989122,8⋅685218082313627,25712⋅08211643167,89⋅0,28⋅350971985461722
1306893634⋅01,10⋅0299238,2⋅6262919,467⋅01,-1⋅0,8⋅4,-1⋅0,903416⋅44,-319337⋅31,-1⋅0,75⋅95748937112317,39806494⋅546953656,22⋅38584020765702,8⋅611889275593855,25271⋅881772354944,88⋅90000000000002,28⋅35101026192716
1306893634⋅43,10⋅0296923,2⋅6265269,467⋅01,-1⋅0,8⋅6,-1⋅0,903393⋅44,-319313⋅88,-1⋅0,79⋅84587119329034,26862591⋅529203847,22⋅133824097559632,8⋅54393129930773,24948⋅120106411556,86⋅80000000000001,28⋅35107915956495
1306893634⋅85,10⋅0294594,2⋅6267633,467⋅05,-1⋅0,8⋅9,-1⋅0,903370⋅25,-319290⋅34,-1⋅0,80⋅34390428674537,14324034⋅095555916,22⋅1161730305283,8⋅30578008001895,25075⋅024148278975,87⋅10000000000002,28⋅35121695484054
1306893635⋅27,10⋅0292209,2⋅6270054,467⋅16,-1⋅0,9⋅2,-1⋅0,903346⋅5,-319266⋅22,-1⋅0,82⋅26295600459547,7205907⋅944210288,21⋅66539626650566,8⋅248254741065972,25691⋅61633112278,89⋅9,28⋅3515078559779
1306893635⋅69,10⋅028976,2⋅627254,467⋅47,-1⋅0,9⋅7,-1⋅0,903322⋅19,-319241⋅44,-1⋅0,84⋅32541352907907,5894430⋅466913872,20⋅755261874371794,7⋅921010486172168,26527⋅031205829637,90⋅0,28⋅710135371288487
1306893636⋅11,10⋅0287296,2⋅627504,468⋅04,-1⋅0,9⋅9,-1⋅0,903297⋅63,-319216⋅53,-1⋅0,84⋅96277016275575,6098441⋅403635862,19⋅76841006411555,7⋅667692944454477,27164⋅590493503783,89⋅90000000000002,28⋅71109993821762
1306893636⋅53,10⋅0284782,2⋅627759,468⋅91,-1⋅0,10⋅0,-1⋅0,903272⋅63,-319191⋅13,-1⋅0,86⋅54461597707925,6492927⋅412389801,22⋅082343922825782,7⋅497150216195715,27178⋅001499816746,92⋅10000000000002,28⋅712661618007647
1306893637⋅37,10⋅0279595,2⋅6282848,471⋅69,-1⋅0,10⋅2,-1⋅0,903221⋅06,-319138⋅75,-1⋅0,89⋅23063387927152,6838237⋅174620754,23⋅85957765123693,7⋅2766452999820626,27425⋅96062081447,90⋅10000000000001,28⋅716313192810798
1306893639⋅05,10⋅0268766,2⋅629379,481⋅4,-1⋅0,10⋅1,-1⋅0,903113⋅38,-319029⋅75,-1⋅0,93⋅03573487646801,7193281⋅278374833,26⋅050754450241755,7⋅10901692114815,27133⋅58879471225,89⋅50000000000001,28⋅727367436030395
1306893639⋅47,10⋅0265901,2⋅6296675,484⋅72,0⋅1,10⋅1,-1⋅0,903084⋅94,-319001⋅03,-1⋅0,98⋅20139950444249,7627569⋅689514187,27⋅37364422398066,7⋅173122390150008,26864⋅686929302483,90⋅50000000000001,28⋅740940270676067
1306893640⋅31,10⋅0260084,2⋅6302519,492⋅29,0⋅1,10⋅0,-1⋅0,903027⋅13,-318942⋅88,-1⋅0,96⋅83118965861952,8219728⋅51706497,27⋅682509184255274,6⋅987036711438031,26421⋅87823156015,90⋅10000000000002,28⋅760292851603445
1306893641⋅99,10⋅0247649,2⋅6314939,511⋅69,0⋅3,10⋅0,-1⋅0,902903⋅75,-318819⋅38,-1⋅0,103⋅3590249714664,8978376⋅137600914,28⋅800634127845765,6⋅926686409514543,26973⋅03697764078,91⋅5,28⋅79449670112226
1306893642⋅83,10⋅0241069,2⋅6321468,523⋅41,0⋅3,9⋅8,-1⋅0,902838⋅56,-318754⋅47,-1⋅0,109⋅21996048977077,9957337⋅251597725,29⋅84943748682712,7⋅119098113633361,26720⋅649405776476,92⋅59999999999998,28⋅837641932968282
1306893643⋅25,10⋅0237683,2⋅6324818,529⋅77,0⋅5,9⋅8,-1⋅0,902805⋅0,-318721⋅19,-1⋅0,112⋅37057488040513,11316465⋅871683314,28⋅05275366016528,6⋅934694709212674,26776⋅473014805946,92⋅6,28⋅885571722994523
1306893643⋅67,10⋅0234201,2⋅6328254,536⋅49,0⋅6,9⋅8,-1⋅0,902770⋅5,-318687⋅06,-1⋅0,115⋅47666413476493,12904194⋅161622144,29⋅559771873177464,7⋅180705104645699,26800⋅78251076566,94⋅30000000000001,28⋅93840855589041
1306893644⋅51,10⋅022711,2⋅633523,550⋅67,0⋅6,9⋅6,323⋅8,902700⋅31,-318617⋅81,-1⋅0,117⋅42301505029391,14650897⋅591617707,28⋅840254103229533,7⋅29652804816963,26322⋅603048357905,97⋅6,29⋅001664242679567
1306893644⋅93,10⋅0223501,2⋅6338769,557⋅94,0⋅6,9⋅4,323⋅8,902664⋅63,-318582⋅69,-1⋅0,119⋅28871169662762,16478284⋅752566705,28⋅42436503324749,7⋅242712033259311,25728⋅993920282053,96⋅8,29⋅069819317045265
1306893645⋅35,10⋅0219783,2⋅6342407,565⋅27,0⋅6,9⋅1,323⋅8,902627⋅81,-318546⋅59,-1⋅0,122⋅84955836209575,18170680⋅556202732,26⋅789381285327984,7⋅374091980009922,25511⋅028336680563,95⋅6,29⋅141457549766177
1306893645⋅77,10⋅0216024,2⋅6346078,572⋅42,1⋅1,8⋅9,323⋅8,902590⋅69,-318510⋅19,-1⋅0,123⋅78893058718735,19706981⋅857388232,25⋅57862343986518,7⋅614669186675764,25213⋅528875698277,94⋅2,29⋅211136027456465
1306893646⋅19,10⋅021216,2⋅6349845,579⋅41,1⋅2,8⋅7,323⋅9,902552⋅5,-318472⋅81,-1⋅0,127⋅16124520822011,21022428⋅174422827,23⋅14868188592235,7⋅429490416216542,25339⋅416316898227,91⋅2,29⋅283623997710183
1306893646⋅61,10⋅0208245,2⋅6353657,586⋅08,1⋅2,8⋅5,323⋅9,902513⋅81,-318435⋅03,-1⋅0,128⋅57305150134002,22273307⋅405516505,23⋅20426509682032,7⋅563750249924549,26017⋅832609269644,90⋅60000000000001,29⋅355422991585954
1306893647⋅03,10⋅0204277,2⋅6357516,592⋅39,1⋅5,8⋅5,323⋅9,902474⋅56,-318396⋅78,-1⋅0,130⋅19715396348138,23510230⋅61390561,23⋅213889592094908,7⋅763997605601972,25854⋅763327224668,91⋅40000000000002,29⋅41720120680905
1306893647⋅88,10⋅0196017,2⋅6365539,604⋅08,1⋅8,8⋅2,323⋅9,902393⋅0,-318317⋅22,-1⋅0,133⋅58930191987633,24659622⋅636662588,24⋅761724194079193,7⋅549203191008717,25254⋅011229152624,90⋅4,29⋅47895645615288
1306893648⋅3,10⋅0191822,2⋅6369614,609⋅34,2⋅0,8⋅3,323⋅9,902351⋅56,-318276⋅84,-1⋅0,137⋅17124095493634,25846519⋅680648103,25⋅772634012190935,7⋅801978819955638,24618⋅007106044694,90⋅2,29⋅539869623256987
1306893648⋅72,10⋅0187555,2⋅6373759,614⋅39,2⋅1,8⋅4,324⋅1,902309⋅44,-318235⋅75,-1⋅0,139⋅4536893467657,27299004⋅705139626,25⋅49805461526448,7⋅747239979494922,23854⋅195143800975,90⋅50000000000001,29⋅599504356415345
1306893649⋅14,10⋅0183272,2⋅6377925,619⋅35,2⋅3,8⋅7,324⋅1,902267⋅13,-318194⋅44,-1⋅0,140⋅12058702010597,28700553⋅924276244,27⋅091983773713416,7⋅562282021305839,23925⋅987783322747,89⋅60000000000002,29⋅652080909346232
1306893649⋅56,10⋅0178845,2⋅6382244,624⋅53,2⋅4,8⋅9,324⋅1,902223⋅31,-318151⋅59,-1⋅0,145⋅27561077792402,30079222⋅90844043,27⋅015558627237453,7⋅765651369829087,24003⋅61751022439,87⋅10000000000001,29⋅70305750602165
1306893649⋅98,10⋅017441,2⋅6386585,629⋅89,2⋅5,9⋅2,324⋅3,902179⋅5,-318108⋅53,-1⋅0,145⋅63407624988338,31977374⋅603701293,28⋅588071336096377,7⋅660764176496633,23872⋅054376664506,87⋅09999999999998,29⋅752526009958654
1306893650⋅4,10⋅0169864,2⋅6391051,635⋅64,2⋅5,9⋅4,324⋅3,902134⋅5,-318064⋅19,-1⋅0,149⋅85123703452152,33518869⋅21503838,27⋅693233182821718,7⋅407841487953166,23942⋅074939437738,86⋅99999999999999,29⋅800922772863288
1306893650⋅82,10⋅0165304,2⋅6395546,641⋅71,2⋅5,9⋅5,324⋅3,902089⋅38,-318019⋅56,-1⋅0,150⋅60025565459054,35186695⋅185987644,30⋅16361545829405,7⋅51099761144497,23709⋅972104735072,87⋅1,29⋅848615248803796
1306893656⋅92,10⋅0101332,2⋅6467755,736⋅34,58⋅7,9⋅5,335⋅5,901441⋅69,-317291⋅47,-1⋅0,159⋅05809423414362,36799143⋅65338675,30⋅910554546381494,7⋅562885407832686,23677⋅152646540002,87⋅8,29⋅963643682749556
1306893657⋅13,10⋅0099638,2⋅6470468,737⋅85,59⋅0,9⋅5,336⋅4,901423⋅31,-317263⋅28,-1⋅0,158⋅40289531193292,38130335⋅160052896,32⋅17363982889352,7⋅406948624913717,23455⋅709567988557,87⋅39999999999999,30⋅074997576012898
1306893657⋅34,10⋅0098023,2⋅6473169,739⋅23,59⋅2,9⋅5,337⋅3,901405⋅56,-317235⋅13,-1⋅0,156⋅54378331799333,30993305⋅711055618,31⋅385241919741688,7⋅46932453916329,23587⋅5191261132,89⋅39999999999999,30⋅17845886210214
1306893657⋅55,10⋅0096463,2⋅6475898,740⋅52,59⋅4,9⋅5,338⋅2,901388⋅25,-317206⋅63,-1⋅0,156⋅78072602257208,22915113⋅456652276,31⋅079808365821386,7⋅275049609018855,23784⋅69198104563,87⋅79999999999998,30⋅278880996835298
1306893657⋅76,10⋅0095006,2⋅6478576,741⋅69,59⋅5,9⋅5,339⋅2,901371⋅88,-317178⋅53,-1⋅0,152⋅77261194050374,14587103⋅040563388,31⋅812248644729618,7⋅127008624747224,23960⋅18098626867,88⋅10000000000001,30⋅376332877850167
1306893657⋅97,10⋅0093548,2⋅6481397,742⋅83,59⋅6,9⋅5,340⋅1,901355⋅25,-317148⋅84,-1⋅0,159⋅89102356129857,12853142⋅131955283,31⋅02355077268356,7⋅372475542999473,23805⋅29820405875,85⋅9,30⋅47086043690529
1306893658⋅18,10⋅009224,2⋅6484075,743⋅82,59⋅7,9⋅5,341⋅2,901340⋅13,-317120⋅59,-1⋅0,150⋅34050104816723,18267071⋅610331766,31⋅150570776665447,7⋅433676638488819,24122⋅733104765986,86⋅00000000000001,30⋅56218042815638
1306893658⋅39,10⋅0090922,2⋅6486935,744⋅81,59⋅7,9⋅5,342⋅1,901324⋅63,-317090⋅31,-1⋅0,159⋅67534511003535,28526402⋅264910173,29⋅492745171715065,7⋅5105935161830715,23753⋅03170467373,88⋅2,30⋅650155056327858
1306893658⋅6,10⋅0089727,2⋅6489701,745⋅69,59⋅8,7⋅4,343⋅2,901310⋅31,-317060⋅94,-1⋅0,153⋅21100375966608,33300726⋅241677333,30⋅70849220393024,7⋅67106707764649,24153⋅764090230234,88⋅8,30⋅734401556765302
1306893658⋅81,10⋅0088607,2⋅6492476,746⋅51,59⋅9,7⋅4,344⋅2,901296⋅56,-317031⋅41,-1⋅0,152⋅66433985423566,38977971⋅56491609,30⋅055227782904147,7⋅7317553077982595,24060⋅69827339423,91⋅2,30⋅814629028331357
1306893659⋅02,10⋅0087563,2⋅6495258,747⋅27,59⋅9,7⋅4,345⋅4,901283⋅5,-317001⋅66,-1⋅0,152⋅1858776968254,46405586⋅21644548,28⋅400696714277785,7⋅584116986960056,24179⋅154526322433,90⋅2,30⋅822996263676945
1306893659⋅23,10⋅0086575,2⋅6498112,748⋅0,60⋅0,7⋅5,346⋅4,901270⋅75,-316971⋅06,-1⋅0,155⋅26140459366889,47730468⋅40484246,26⋅12637205606336,7⋅5129142759644125,24062⋅615170444373,90⋅0,30⋅83076638616163
1306893659⋅44,10⋅0085716,2⋅6500822,748⋅64,60⋅0,7⋅5,347⋅6,901259⋅31,-316941⋅91,-1⋅0,146⋅44964717068436,48828633⋅413214415,26⋅335481692424107,7⋅656674021677505,24633⋅49443793006,88⋅6,30⋅83797001695778
