flight id:301
flight code:Su-25T
origin:RU
date:2011-06-01
from:sochi-adler
to:soganlug
motor(s):2
mass aircraft:11495.835648
mass fuel:11495.835648
lift coef:1.1776856990315037
drag coef:0.011020666513337473

timestamp,longitude,latitude,altitude,roll,pitch,yaw,u,v,heading,air_speed,engine_0,engine_1,temperature_in,humidity_in,pressure_in,heart_rate,oxygen_mask
1306893617⋅59,3⋅9538542,6⋅0867506,-1⋅0,-1⋅0,3⋅0,-1⋅0,369026⋅59,11743⋅58,-1⋅0,31⋅79822073914487,4800622⋅929289731,4800622⋅929289731,21⋅899086633564846,7⋅665681338168653,25650⋅23434564911,86⋅99999999999999,26⋅28109862295444
1306893625⋅78,3⋅9504321,6⋅0868,-1⋅0,-1⋅0,2⋅3,-1⋅0,368756⋅91,11729⋅18,-1⋅0,31⋅79822073914487,4764352⋅500421626,4764352⋅500421626,20⋅58940301458237,7⋅661721560156443,26342⋅049260337542,86⋅39999999999999,26⋅25567539460798
1306893626⋅2,3⋅9501712,6⋅0868037,-1⋅0,-1⋅0,2⋅2,-1⋅0,368736⋅34,11728⋅08,-1⋅0,47⋅81023552160938,4722066⋅863520023,4722066⋅863520023,20⋅68826169598374,7⋅666490994146337,26217⋅91361368826,85⋅69999999999999,26⋅2302674768477
1306893627⋅88,3⋅9490367,6⋅08682,-1⋅0,-1⋅0,1⋅9,-1⋅0,368646⋅94,11723⋅31,-1⋅0,52⋅04495209031354,4762233⋅391487542,4762233⋅391487542,20⋅138946266135854,7⋅696665735730663,25398⋅977482300776,84⋅59999999999998,26⋅204882524966685
1306893628⋅72,3⋅9484251,6⋅0868288,-1⋅0,-1⋅0,1⋅8,-1⋅0,368598⋅72,11720⋅73,-1⋅0,56⋅23335135972337,4425010⋅842513833,4425010⋅842513833,19⋅730960030777972,7⋅525477247949342,25526⋅8392539303,82⋅39999999999999,26⋅179520538964937
1306893629⋅98,3⋅9474395,6⋅086843,32⋅07,-1⋅0,2⋅7,-1⋅0,368521⋅03,11716⋅58,-1⋅0,65⋅935287409717,4425010⋅842513833,4425010⋅842513833,19⋅730960030777972,7⋅525477247949343,25526⋅8392539303,82⋅39999999999999,26⋅179520538964937
1306893630⋅4,3⋅9470961,6⋅086848,32⋅13,-1⋅0,5⋅6,-1⋅0,368494⋅0,11715⋅14,-1⋅0,63⋅18489179930419,4762233⋅391487543,4762233⋅391487543,20⋅138946266135854,7⋅696665735730663,25398⋅977482300776,84⋅6,26⋅204882524966685
1306893630⋅82,3⋅9467466,6⋅086853,32⋅16,-1⋅0,7⋅5,-1⋅0,368466⋅44,11713⋅67,-1⋅0,64⋅4467773839091,4722066⋅863520023,4722066⋅863520023,20⋅68826169598374,7⋅666490994146336,26217⋅91361368826,85⋅69999999999999,26⋅2302674768477
1306893631⋅24,3⋅9463841,6⋅0868582,32⋅19,-1⋅0,8⋅7,-1⋅0,368437⋅88,11712⋅14,-1⋅0,66⋅82804411678242,4764352⋅5004216265,4764352⋅5004216265,20⋅58940301458237,7⋅661721560156442,26342⋅049260337542,86⋅4,26⋅25567539460798
1306893631⋅66,3⋅9460192,6⋅0868634,32⋅21,-1⋅0,9⋅5,-1⋅0,368409⋅13,11710⋅61,-1⋅0,67⋅28040081763899,4800622⋅92928973,4800622⋅92928973,21⋅899086633564846,7⋅665681338168653,25650⋅23434564911,87⋅00000000000001,26⋅28109862295444
