flight id:401
flight code:Su-27
origin:RU
date:2011-06-01
from:soganlug
to:gudauta
motor(s):2
mass aircraft:17500.032952
mass fuel:17500.032952
lift coef:1.3276531002791723
drag coef:0.012475794761808172

timestamp,longitude,latitude,altitude,roll,pitch,yaw,u,v,heading,air_speed,engine_0,engine_1,temperature_in,humidity_in,pressure_in,heart_rate,oxygen_mask
1306893656⋅86,3⋅0185508,5⋅5781168,24⋅33,-1⋅0,-1⋅5,223⋅6,298921⋅22,-49765⋅27,-1⋅0,5⋅4416436108214965,4886457⋅50161526,4886457⋅50161526,27⋅53444092880791,7⋅086800877879243,25659⋅544026706288,78⋅9,34⋅146739043760064
1306893677⋅85,3⋅0169787,5⋅5769347,24⋅33,-1⋅0,-1⋅6,223⋅6,298804⋅5,-49904⋅28,-1⋅0,5⋅4416436108214965,4433399⋅143025905,4433399⋅143025905,25⋅279167221234164,7⋅021608728532804,26244⋅42797014369,78⋅7,34⋅146509384967416
1306893682⋅28,3⋅0152431,5⋅5756295,24⋅33,-1⋅0,-1⋅8,223⋅6,298675⋅63,-50057⋅75,-1⋅0,41⋅89567376982276,3496065⋅538419791,3496065⋅538419791,24⋅310854380170056,7⋅00862367339568,26943⋅19771658329,82⋅30000000000001,34⋅14630269205403
1306893686⋅07,3⋅0132552,5⋅5741347,24⋅43,-1⋅0,0⋅8,223⋅6,298528⋅0,-50233⋅53,-1⋅0,57⋅220537849712166,2502052⋅128708447,2502052⋅128708447,23⋅511793930782865,6⋅967920856804915,27346⋅16401524359,83⋅20000000000002,34⋅146172552071526
1306893686⋅49,3⋅0130064,5⋅5739476,24⋅49,-1⋅0,3⋅9,223⋅6,298509⋅53,-50255⋅53,-1⋅0,65⋅04486724748502,1777212⋅8801093714,1777212⋅8801093714,25⋅917465067248315,7⋅178829257001015,26842⋅667420692324,83⋅4,34⋅14611130972682
1306893686⋅91,3⋅0127525,5⋅5737566,24⋅54,-1⋅0,5⋅9,223⋅6,298490⋅66,-50277⋅98,-1⋅0,66⋅47829045803573,1777212⋅880109371,1777212⋅880109371,25⋅917465067248315,7⋅178829257001015,26842⋅667420692324,83⋅39999999999999,34⋅14611130972681
1306893687⋅33,3⋅0124872,5⋅5735571,24⋅57,-1⋅0,7⋅2,223⋅6,298470⋅97,-50301⋅44,-1⋅0,69⋅57381821092052,2502052⋅128708447,2502052⋅128708447,23⋅511793930782865,6⋅967920856804916,27346⋅164015243594,83⋅2,34⋅146172552071526
1306893687⋅75,3⋅0122218,5⋅5733575,24⋅6,-1⋅0,8⋅1,223⋅6,298451⋅25,-50324⋅91,-1⋅0,69⋅63866457862966,3496065⋅538419791,3496065⋅538419791,24⋅31085438017006,7⋅00862367339568,26943⋅197716583294,82⋅30000000000001,34⋅14630269205402
1306893688⋅17,3⋅0119493,5⋅5731526,24⋅6,-1⋅0,8⋅7,223⋅6,298431⋅03,-50349⋅0,-1⋅0,71⋅53365614042418,4433399⋅143025906,4433399⋅143025906,25⋅279167221234168,7⋅021608728532804,26244⋅42797014369,78⋅7,34⋅14650938496741
1306893688⋅59,3⋅0116719,5⋅5729439,24⋅63,-1⋅0,9⋅1,223⋅6,298410⋅44,-50373⋅54,-1⋅0,72⋅92029011921673,4886457⋅50161526,4886457⋅50161526,27⋅534440928807914,7⋅086800877879243,25659⋅54402670629,78⋅9,34⋅146739043760064
1306893689⋅01,3⋅0113839,5⋅5727273,24⋅76,-1⋅0,9⋅7,223⋅6,298389⋅03,-50399⋅01,-1⋅0,75⋅87286939073985,4803820⋅214651794,4803820⋅214651794,28⋅08434744398134,7⋅008094639018352,26630⋅836164236003,79⋅10000000000001,34⋅14706822136286
1306893689⋅43,3⋅0110984,5⋅5725125,25⋅1,-1⋅0,10⋅2,223⋅6,298367⋅84,-50424⋅26,-1⋅0,75⋅13761826289812,4590472⋅702933437,4590472⋅702933437,27⋅745158670782654,6⋅978864888274062,26597⋅4796493604,81⋅0,34⋅14765767893067
1306893689⋅85,3⋅0108022,5⋅5722896,25⋅77,-1⋅0,10⋅5,223⋅6,298345⋅84,-50450⋅47,-1⋅0,78⋅13991660751265,4208725⋅225703263,4208725⋅225703263,29⋅00762391530219,7⋅159193562918632,26526⋅85006318075,80⋅60000000000001,34⋅1487600411354
1306893690⋅27,3⋅0105029,5⋅5720643,26⋅8,-1⋅0,10⋅8,223⋅6,298323⋅63,-50476⋅96,-1⋅0,78⋅99289921930361,4005391⋅745808843,4005391⋅745808843,30⋅16672322536227,7⋅291209896088019,26473⋅71760582936,82⋅30000000000001,34⋅150574345597335
1306893692⋅37,3⋅0089061,5⋅5708576,38⋅16,-1⋅0,11⋅0,223⋅6,298205⋅06,-50618⋅8,-1⋅0,84⋅85203360985773,4137597⋅4284555465,4137597⋅4284555465,28⋅517912987832673,7⋅371291218531753,27049⋅13861231194,82⋅30000000000001,34⋅16103913124913
1306893692⋅79,3⋅0085725,5⋅570604,41⋅6,0⋅1,11⋅0,223⋅6,298180⋅31,-50648⋅61,-1⋅0,89⋅2677572162984,4158270⋅7289854283,4158270⋅7289854283,30⋅041920453660122,7⋅448903085965218,26708⋅042365018307,82⋅7,34⋅17409906125788
1306893693⋅21,3⋅0082262,5⋅5703401,45⋅51,0⋅1,10⋅9,223⋅6,298154⋅63,-50679⋅62,-1⋅0,92⋅96924627280248,4642010⋅724588753,4642010⋅724588753,30⋅616977217533545,7⋅677317132606839,26330⋅217191293465,83⋅1,34⋅19012924498491
1306893694⋅89,3⋅0067598,5⋅5692131,65⋅61,0⋅1,10⋅8,223⋅6,298045⋅88,-50811⋅98,-1⋅0,99⋅32395481385144,5340355⋅733268614,5340355⋅733268614,28⋅67817595174668,7⋅610061706513767,26109⋅656805426228,84⋅2,34⋅2215236019403
1306893695⋅31,3⋅0063742,5⋅5689139,71⋅76,0⋅4,10⋅8,223⋅6,298017⋅28,-50847⋅09,-1⋅0,105⋅4683606611768,6114403⋅337765303,6114403⋅337765303,28⋅590284208582553,7⋅67809332375516,26104⋅03616881441,86⋅30000000000001,34⋅257625964145014
1306893695⋅73,3⋅0059829,5⋅5686087,78⋅31,0⋅5,10⋅8,223⋅7,297988⋅31,-50882⋅9,-1⋅0,107⋅42963596627743,7541140⋅588265757,7541140⋅588265757,28⋅28035742229246,7⋅871949648731573,25823⋅409834687456,87⋅90000000000002,34⋅29871957744335
1306893696⋅15,3⋅0055754,5⋅5682895,85⋅43,0⋅5,10⋅6,223⋅7,297958⋅13,-50920⋅35,-1⋅0,112⋅42236494189096,9000394⋅836951746,9000394⋅836951746,29⋅16730808669776,7⋅949221521401748,25005⋅70947799342,88⋅4,34⋅34516424061046
1306893696⋅57,3⋅0051711,5⋅5679712,92⋅76,0⋅5,10⋅6,223⋅7,297928⋅19,-50957⋅68,-1⋅0,111⋅92240213447614,10315309⋅276801892,10315309⋅276801892,31⋅66023695846344,8⋅257321133412418,24581⋅260244078036,87⋅39999999999999,34⋅39695995364633
