flight id:601
flight code:F-14A
origin:US
date:2011-06-01
from:novorossiysk
to:sochi-adler
motor(s):2
mass aircraft:41780
mass fuel:41780
lift coef:1.9650056483374456
drag coef:0.010121101720646569

timestamp,longitude,latitude,altitude,roll,pitch,yaw,u,v,heading,air_speed,engine_0,engine_1,temperature_in,humidity_in,pressure_in,heart_rate,oxygen_mask
1306893623⋅5,2⋅3384866,5⋅9982214,-3⋅28084,-1⋅0,-0⋅2,-1⋅0,795383⋅7852948,-20338⋅550519599998,-1⋅0,111⋅986166127048,1079⋅8798956950698,1079⋅8798956950698,298⋅022563335409,0⋅07754950350565065,3⋅7823480033577135,92⋅5,0⋅2696298487838987
1306893626⋅03,2⋅3395372,5⋅9989783,-3⋅28084,-1⋅0,-0⋅3,-1⋅0,795640⋅6750668,-20048⋅097754399998,-1⋅0,111⋅986166127048,1161⋅7745186710292,1161⋅7745186710292,299⋅2994126139813,0⋅08047937369197601,3⋅830557174041313,92⋅0,0⋅2692769397725251
1306893628⋅97,2⋅3410226,6⋅0000484,-3⋅28084,-1⋅0,-0⋅4,-1⋅0,796003⋅798438,-19637⋅46782,-1⋅0,134⋅60557058881585,819⋅1379429914377,819⋅1379429914377,299⋅62290716502594,0⋅08037957930446886,3⋅8670134679527064,91⋅50000000000001,0⋅2689241073140824
1306893631⋅07,2⋅3422664,6⋅0009445,147⋅3753328,-1⋅0,2⋅2,-1⋅0,796307⋅8994976,-19293⋅635788,-1⋅0,163⋅9755335157689,366⋅6171325457598,366⋅6171325457598,297⋅5246736330031,0⋅07766613597109875,3⋅9600706967397996,92⋅20000000000002,0⋅26892295902011915
1306893631⋅49,2⋅3425296,6⋅0011341,147⋅57218319999998,-1⋅0,4⋅8,-1⋅0,796372⋅3023868,-19220⋅866756800002,-1⋅0,165⋅22782524710024,253⋅2827848690713,253⋅2827848690713,299⋅33941725546254,0⋅08009861727329821,3⋅8937131971978616,90⋅40000000000002,0⋅268922423149603
1306893631⋅91,2⋅3428031,6⋅0013311,147⋅7034168,-1⋅0,6⋅5,-1⋅0,796439⋅1330976001,-19145⋅2762032,-1⋅0,171⋅2704033467283,253⋅28278486907132,253⋅28278486907132,299⋅33941725546254,0⋅0800986172732982,3⋅8937131971978616,90⋅40000000000002,0⋅268922423149603
1306893632⋅33,2⋅343082,6⋅001532,147⋅801842,-1⋅0,7⋅6,-1⋅0,796507⋅3089528,-19068⋅176463199998,-1⋅0,174⋅55164648520844,366⋅6171325457597,366⋅6171325457597,297⋅5246736330031,0⋅07766613597109875,3⋅9600706967397996,92⋅20000000000002,0⋅26892295902011915
1306893632⋅75,2⋅3433653,6⋅0017361,147⋅8674588,-1⋅0,8⋅4,-1⋅0,796576⋅5674852,-18989⋅8628124,-1⋅0,177⋅19151561714204,819⋅1379429914375,819⋅1379429914375,299⋅62290716502594,0⋅08037957930446885,3⋅867013467952706,91⋅50000000000003,0⋅26892410731408245
1306893633⋅17,2⋅3436532,6⋅0019435,147⋅93307560000002,-1⋅0,8⋅8,-1⋅0,796646⋅9415032,-18910⋅269634,-1⋅0,179⋅94712776760474,1161⋅7745186710292,1161⋅7745186710292,299⋅2994126139813,0⋅08047937369197601,3⋅8305571740413127,92⋅00000000000001,0⋅26927693977252515
1306893633⋅59,2⋅3439511,6⋅0021581,147⋅96588400000002,-1⋅0,9⋅2,-1⋅0,796719⋅8089596,-18827⋅92055,-1⋅0,185⋅9782479851768,1079⋅87989569507,1079⋅87989569507,298⋅022563335409,0⋅07754950350565065,3⋅7823480033577135,92⋅5,0⋅2696298487838987
1306893634⋅01,2⋅3442455,6⋅0023701,148⋅3595848,-1⋅0,9⋅7,-1⋅0,796791⋅7905892,-18746⋅555718,-1⋅0,183⋅83023359564527,704⋅2520724782175,704⋅2520724782175,298⋅10874621252003,0⋅07525926514041868,3⋅7941148116496843,93⋅80000000000001,0⋅2699836764304429
1306893634⋅43,2⋅3445551,6⋅0025931,149⋅4094536,-1⋅0,10⋅2,-1⋅0,796867⋅4467596,-18660⋅9914108,-1⋅0,192⋅89500717055552,526⋅9316562901321,526⋅9316562901321,298⋅291500585571,0⋅07285484358293488,3⋅7060285482061213,92⋅30000000000001,0⋅2703399537707753
1306893634⋅85,2⋅3448659,6⋅0028168,151⋅410766,-1⋅0,10⋅5,-1⋅0,796943⋅3982056,-18575⋅131827999998,-1⋅0,193⋅59074140158555,954⋅5929073418076,954⋅5929073418076,297⋅22512210545693,0⋅07367697022613372,3⋅7297014637909314,94⋅50000000000001,0⋅2707009008398917
