flight id:701
flight code:F-14B
origin:US
date:2011-06-01
from:maykop-khanskaya
to:nalchik
motor(s):2
mass aircraft:44040
mass fuel:44040
lift coef:1.3582186375634022
drag coef:0.017830377164784177

timestamp,longitude,latitude,altitude,roll,pitch,yaw,u,v,heading,air_speed,engine_0,engine_1,temperature_in,humidity_in,pressure_in,heart_rate,oxygen_mask
1306893619⋅75,2⋅9873018,5⋅9620634,-3⋅28084,-1⋅0,0⋅0,-1⋅0,963972⋅8326843999,-23840⋅453518799997,-1⋅0,77⋅57404679436088,2840⋅9898923381274,2840⋅9898923381274,297⋅0330649586282,0⋅07616124481122831,3⋅7030459930775654,89⋅49999999999999,0⋅2843506936075706
1306893621⋅64,2⋅9878126,5⋅9624516,-3⋅28084,-1⋅0,-0⋅1,-1⋅0,964096⋅2578852001,-23690⋅8144064,-1⋅0,77⋅57404679436088,2662⋅6291654880806,2662⋅6291654880806,295⋅4517297270541,0⋅07649390977291962,3⋅82520985214191,91⋅7,0⋅28417546394877796
1306893622⋅9,2⋅9882154,5⋅9627577,-3⋅28084,-1⋅0,-0⋅2,-1⋅0,964193⋅5675996,-23572⋅8354,-1⋅0,90⋅34668959729272,2084⋅4434598846633,2084⋅4434598846633,293⋅54578937725955,0⋅075346667079711,3⋅776546576244037,89⋅3,0⋅28400023428998533
1306893623⋅95,2⋅9885933,5⋅9630449,-3⋅28084,-1⋅0,-0⋅3,-1⋅0,964284⋅9061852001,-23462⋅10705,-1⋅0,100⋅79410028459617,1471⋅7098507328033,1471⋅7098507328033,294⋅2807227440064,0⋅07538298794403062,3⋅7604019050851916,88⋅2,0⋅2838250046311927
1306893624⋅79,2⋅9889188,5⋅9632923,71⋅7847792,-1⋅0,-0⋅4,-1⋅0,964363⋅54792,-23366⋅765839599997,-1⋅0,123⋅91644719911154,937⋅6207239343328,937⋅6207239343328,294⋅42586812113467,0⋅07486981886954851,3⋅89263714176329,86⋅9,0⋅28382492807826176
1306893625⋅42,2⋅9891776,5⋅963489,71⋅8175876,-1⋅0,-0⋅5,-1⋅0,964426⋅0807303999,-23290⋅9456272,-1⋅0,113⋅9470050114973,937⋅6207239343325,937⋅6207239343325,294⋅42586812113467,0⋅0748698188695485,3⋅89263714176329,86⋅90000000000002,0⋅28382492807826176
1306893626⋅68,2⋅9897376,5⋅9639146,71⋅8175876,-1⋅0,-0⋅7,-1⋅0,964561⋅4153804,-23126⋅9036272,-1⋅0,122⋅65720287364867,1471⋅7098507328033,1471⋅7098507328033,294⋅2807227440064,0⋅07538298794403063,3⋅760401905085191,88⋅20000000000002,0⋅2838250046311927
1306893629⋅62,2⋅9912416,5⋅9650576,71⋅8175876,-1⋅0,-1⋅0,-1⋅0,964924⋅8668356001,-22686⋅286815199997,-1⋅0,140⋅03846722944928,2084⋅443459884663,2084⋅443459884663,293⋅54578937725955,0⋅07534666707971098,3⋅776546576244037,89⋅30000000000001,0⋅28400023428998533
1306893630⋅46,2⋅9917223,5⋅9654229,71⋅8175876,-1⋅0,-1⋅1,-1⋅0,965041⋅04138,-22545⋅473162399998,-1⋅0,155⋅74900668760236,2662⋅6291654880806,2662⋅6291654880806,295⋅4517297270541,0⋅07649390977291963,3⋅82520985214191,91⋅7,0⋅284175463948778
1306893631⋅3,2⋅9922253,5⋅9658051,71⋅8175876,-1⋅0,-1⋅2,-1⋅0,965162⋅5308852001,-22398⋅1634464,-1⋅0,162⋅56135026345265,2840⋅9898923381265,2840⋅9898923381265,297⋅0330649586282,0⋅0761612448112283,3⋅7030459930775663,89⋅5,0⋅28435069360757065
1306893632⋅14,2⋅9927517,5⋅9662051,72⋅1456716,-1⋅0,-0⋅6,-1⋅0,965289⋅7618604,-22243⋅9639664,-1⋅0,169⋅83955836109172,2552⋅2811940584766,2552⋅2811940584766,297⋅5803832124748,0⋅07463580043895351,3⋅7370988886168544,91⋅9,0⋅2845266887956721
1306893632⋅56,2⋅993025,5⋅9664128,72⋅6377976,-1⋅0,3⋅1,-1⋅0,965355⋅8051696,-22163⋅878662,-1⋅0,176⋅08808618633014,2265⋅9617409190837,2265⋅9617409190837,299⋅9707778022524,0⋅07215725791089436,3⋅6444391831876177,90⋅0,0⋅2847038322777368
1306893632⋅98,2⋅9933041,5⋅9666249,72⋅96588159999999,-1⋅0,5⋅5,-1⋅0,965423⋅25924,-22082⋅1529376,-1⋅0,179⋅59710807299996,2284⋅81756518248,2284⋅81756518248,302⋅16932410660354,0⋅07486340321793017,3⋅6708861337623344,92⋅7,0⋅2848817412891104
1306893633⋅4,2⋅9935841,5⋅9668377,73⋅1955404,-1⋅0,7⋅0,-1⋅0,965490⋅9429692,-22000⋅1319376,-1⋅0,180⋅20392995116512,2286⋅4480924994077,2286⋅4480924994077,302⋅6961620302497,0⋅0746625324676885,3⋅62323937132014,90⋅60000000000001,0⋅2850601861710002
1306893633⋅82,2⋅9938739,5⋅9670578,73⋅3595824,-1⋅0,8⋅1,-1⋅0,965560⋅9560947999,-21915⋅2566068,-1⋅0,186⋅184537802732,1980⋅4554510745784,1980⋅4554510745784,304⋅2558391577419,0⋅07248927096403174,3⋅5678085858542303,90⋅8,0⋅2850638607116826
1306893634⋅24,2⋅9941722,5⋅9672845,73⋅490816,-1⋅0,8⋅7,-1⋅0,965633⋅0361496,-21827⋅8878376,-1⋅0,191⋅44141695634195,1835⋅7795097193325,1835⋅7795097193325,305⋅12964662402186,0⋅07492393736475562,3⋅571424071208711,88⋅80000000000001,0⋅2850677649111577
1306893634⋅66,2⋅9944706,5⋅9675112,73⋅490816,-1⋅0,9⋅2,-1⋅0,965705⋅1162044,-21740⋅48626,-1⋅0,191⋅48288147527091,1623⋅0094687306414,1623⋅0094687306414,305⋅58251762148916,0⋅07403601637123462,3⋅567412188419758,87⋅30000000000001,0⋅2850716691106328
1306893635⋅08,2⋅9947759,5⋅9677433,73⋅72047479999999,-1⋅0,9⋅6,-1⋅0,965778⋅9351043999,-21651⋅017753199998,-1⋅0,195⋅86703185348262,1038⋅9605008997828,1038⋅9605008997828,306⋅39361571063785,0⋅07340604124003584,3⋅5280698387655054,87⋅30000000000001,0⋅28507610918062404
