flight id:801
flight code:F-15C
origin:US
date:2011-06-01
from:gelendzhik
to:kutaisi
motor(s):2
mass aircraft:29498
mass fuel:29498
lift coef:1.408162940600709
drag coef:0.016385370250972982

timestamp,longitude,latitude,altitude,roll,pitch,yaw,u,v,heading,air_speed,engine_0,engine_1,temperature_in,humidity_in,pressure_in,heart_rate,oxygen_mask
1306893630⋅65,7⋅487179,3⋅1783563,-3⋅28084,-1⋅0,-0⋅8,-1⋅0,2245197⋅9393004,-934220⋅6335696,-1⋅0,303⋅5816715974697,9008⋅481578812305,9008⋅481578812305,291⋅9622949867296,0⋅07748989604751816,3⋅7832943595018595,93⋅3,0⋅3384462570000496
1306893631⋅07,7⋅4868134,3⋅1783103,155⋅64304959999998,-1⋅0,2⋅4,-1⋅0,2245100⋅5639692,-934248⋅6191347999,-1⋅0,303⋅5816715974697,10034⋅899300312809,10034⋅899300312809,292⋅3453102404616,0⋅07572544201553817,3⋅8325467561142657,90⋅89999999999999,0⋅3384410514007496
1306893631⋅49,7⋅4864484,3⋅1782644,155⋅77428319999999,-1⋅0,4⋅7,-1⋅0,2245003⋅35268,-934276⋅4078496,-1⋅0,159⋅65793042418497,13353⋅349084313753,13353⋅349084313753,291⋅4080945242595,0⋅07392685118266144,3⋅8932178974754024,90⋅5,0⋅33843906102454663
1306893631⋅91,7⋅4860695,3⋅1782167,155⋅8727084,-1⋅0,6⋅3,-1⋅0,2244902⋅46685,-934305⋅31205,-1⋅0,165⋅88203772515539,17931⋅101716150486,17931⋅101716150486,292⋅1174836146481,0⋅07368419861043592,3⋅9337731814109933,93⋅0,0⋅33843844860109956
1306893632⋅33,7⋅4856834,3⋅1781682,155⋅9383252,-1⋅0,7⋅3,-1⋅0,2244799⋅7437496,-934334⋅83961,-1⋅0,169⋅01983381369686,21325⋅089285028247,21325⋅089285028247,291⋅6490121947974,0⋅07491921661025662,3⋅934829268701868,95⋅20000000000002,0⋅33843821894230686
1306893632⋅75,7⋅4852914,3⋅1781188,156⋅003942,-1⋅0,7⋅9,-1⋅0,2244695⋅3802292,-934364⋅6624456,-1⋅0,171⋅72038194631227,21325⋅08928502825,21325⋅08928502825,291⋅6490121947974,0⋅07491921661025662,3⋅9348292687018676,95⋅2,0⋅33843821894230686
1306893633⋅17,7⋅4848934,3⋅1780688,156⋅03675040000002,-1⋅0,8⋅4,-1⋅0,2244589⋅5731392,-934395⋅1414492,-1⋅0,174⋅25051800835467,17931⋅101716150486,17931⋅101716150486,292⋅1174836146481,0⋅07368419861043592,3⋅933773181410993,93⋅00000000000001,0⋅33843844860109945
1306893633⋅59,7⋅4844819,3⋅178017,156⋅1351756,-1⋅0,8⋅8,-1⋅0,2244480⋅0587,-934426⋅5062796,-1⋅0,180⋅43850493703007,13353⋅349084313757,13353⋅349084313757,291⋅4080945242595,0⋅07392685118266144,3⋅8932178974754024,90⋅5,0⋅3384390610245465
1306893634⋅01,7⋅4840754,3⋅1779659,156⋅6273016,-1⋅0,9⋅2,-1⋅0,2244371⋅79098,-934457⋅5758343999,-1⋅0,178⋅36027590990253,10034⋅89930031281,10034⋅89930031281,292⋅3453102404616,0⋅07572544201553817,3⋅8325467561142657,90⋅9,0⋅33844105140074954
1306893634⋅43,7⋅4836482,3⋅1779121,157⋅87402079999998,-1⋅0,9⋅7,-1⋅0,2244258⋅2082992,-934490⋅1545756,-1⋅0,187⋅33395449898157,9008⋅481578812305,9008⋅481578812305,291⋅9622949867296,0⋅07748989604751814,3⋅7832943595018595,93⋅3,0⋅3384462570000497
