flight id:901
flight code:F-16A
origin:US
date:2011-06-01
from:maykop-khanskaya
to:krasnodar pashkovsky
motor(s):1
mass aircraft:19518
mass fuel:19518
lift coef:2.2203235305245417
drag coef:0.01657331436821066

timestamp,longitude,latitude,altitude,roll,pitch,yaw,u,v,heading,air_speed,engine_0,temperature_in,humidity_in,pressure_in,heart_rate,oxygen_mask
1306893618⋅24,4⋅9564642,4⋅4491639,-3⋅28084,-1⋅0,-0⋅3,-1⋅0,1520405⋅9541648,-537590⋅896468,-1⋅0,65⋅3907155960535,10209⋅65804446213,298⋅37661948558696,0⋅07417650883434496,3⋅710879924873538,95⋅19999999999999,0⋅3380782046279496
1306893621⋅61,4⋅9552532,4⋅4487855,-3⋅28084,-1⋅0,-0⋅4,-1⋅0,1520095⋅9147847998,-537755⋅8242948,-1⋅0,65⋅3907155960535,7475⋅002176713008,297⋅3248538240776,0⋅07296020724817122,3⋅6828443295660906,96⋅9,0⋅3378268048029277
1306893623⋅08,4⋅9545765,4⋅448574,-3⋅28084,-1⋅0,-0⋅5,-1⋅0,1519922⋅7520496,-537847⋅9830904,-1⋅0,85⋅26902369522706,4786⋅527691872601,297⋅6771775868328,0⋅07237302012815355,3⋅663801191673574,96⋅6,0⋅3375756346366985
1306893624⋅34,4⋅9539183,4⋅4483683,-3⋅28084,-1⋅0,-0⋅6,-1⋅0,1519754⋅1824904,-537937⋅6484476001,-1⋅0,97⋅5841655559344,3511⋅598310163382,297⋅84054133639995,0⋅07507041124192672,3⋅6207276138842768,97⋅3,0⋅3373248472351236
1306893625⋅18,4⋅953448,4⋅4482213,-3⋅28084,-1⋅0,-0⋅7,-1⋅0,1519633⋅8412792,-538001⋅6904444,-1⋅0,104⋅90352587223389,2796⋅112625944731,295⋅61162968881575,0⋅07200900489302121,3⋅6468377280673283,99⋅20000000000002,0⋅33707459570406506
1306893626⋅03,4⋅9529339,4⋅4480607,103⋅7401608,-1⋅0,-0⋅8,-1⋅0,1519502⋅18117,-538071⋅70357,-1⋅0,142⋅5955274267805,2796⋅112625944731,295⋅61162968881575,0⋅07200900489302121,3⋅6468377280673283,99⋅20000000000002,0⋅33707459570406506
1306893630⋅65,4⋅949627,4⋅4470271,103⋅96981960000001,-1⋅0,0⋅9,-1⋅0,1518655⋅6260248,-538522⋅0644767999,-1⋅0,135⋅73594221829444,3511⋅5983101633824,297⋅84054133639995,0⋅07507041124192672,3⋅6207276138842763,97⋅30000000000001,0⋅3373248472351236
1306893631⋅07,4⋅949276,4⋅4469174,104⋅1994784,-1⋅0,3⋅8,-1⋅0,1518565⋅6982004,-538569⋅8663156,-1⋅0,159⋅53875510366424,4786⋅5276918726,297⋅6771775868328,0⋅07237302012815355,3⋅6638011916735733,96⋅60000000000002,0⋅3375756346366985
1306893631⋅49,4⋅9489257,4⋅4468079,104⋅3635204,-1⋅0,5⋅6,-1⋅0,1518476⋅0000347998,-538617⋅5697292,-1⋅0,159⋅13331076631917,7475⋅002176713007,297⋅3248538240776,0⋅07296020724817125,3⋅6828443295660906,96⋅90000000000002,0⋅3378268048029277
1306893631⋅91,4⋅948562,4⋅4466942,104⋅46194559999999,-1⋅0,6⋅9,-1⋅0,1518382⋅8897956,-538667⋅1104132,-1⋅0,165⋅41961855091506,10209⋅65804446213,298⋅37661948558696,0⋅07417650883434496,3⋅710879924873537,95⋅2,0⋅3380782046279496
1306893632⋅33,4⋅9481915,4⋅4465784,104⋅5603708,-1⋅0,7⋅7,-1⋅0,1518288⋅0735196,-538717⋅5697324,-1⋅0,168⋅5630761304387,12956⋅451973570056,299⋅2272446726529,0⋅07496686448171755,3⋅588189481917807,95⋅9,0⋅33832983411176415
1306893632⋅75,4⋅9478153,4⋅4464608,104⋅6259876,-1⋅0,8⋅2,-1⋅0,1518191⋅6824404,-538768⋅7836448,-1⋅0,171⋅3977193687882,15631⋅142241219646,300⋅85014311991637,0⋅07617062741049169,3⋅704817046855571,95⋅50000000000001,0⋅33858161670144044
1306893633⋅17,4⋅9474334,4⋅4463415,104⋅658796,-1⋅0,8⋅6,-1⋅0,1518093⋅9790252,-538820⋅8177672,-1⋅0,173⋅8971110762253,17365⋅246677780655,301⋅06724840897397,0⋅07833156471089357,3⋅614129715010496,93⋅7,0⋅3388334758440476
1306893633⋅59,4⋅9470386,4⋅446218,105⋅01968839999999,-1⋅0,9⋅0,-1⋅0,1517992⋅8963448,-538874⋅5907348,-1⋅0,180⋅06690503738636,17999⋅5914730302,300⋅8734377445948,0⋅07533776734913944,3⋅637737536351021,94⋅20000000000002,0⋅3390861770688945
1306893634⋅01,4⋅9466486,4⋅4460961,105⋅97113199999998,-1⋅0,9⋅6,-1⋅0,1517893⋅0275752002,-538927⋅7075344,-1⋅0,177⋅83395314897018,18630⋅05088876251,300⋅9533794573162,0⋅07631483450936384,3⋅6289415557723053,92⋅60000000000001,0⋅33934109832873705
1306893634⋅43,4⋅9462387,4⋅4459679,107⋅9068276,-1⋅0,9⋅9,-1⋅0,1517788⋅0406952,-538983⋅5802396,-1⋅0,187⋅28462632655263,18515⋅569878961014,299⋅43020226839417,0⋅0773775809145712,3⋅635162855967495,92⋅10000000000002,0⋅3393508205509593
1306893634⋅85,4⋅9458271,4⋅4458391,110⋅92520040000001,-1⋅0,10⋅1,-1⋅0,1517682⋅7585396,-539039⋅6497952,-1⋅0,187⋅893673661689,18604⋅95302543021,297⋅76218744838997,0⋅07609496851449576,3⋅6927284851900004,93⋅70000000000002,0⋅33936704977230653
1306893639⋅05,4⋅9412414,4⋅4443828,217⋅2572248,-1⋅0,10⋅5,246⋅9,1516509⋅3333052,-539672⋅4582144,-1⋅0,211⋅28508237095576,19678⋅752720639393,297⋅51489702475527,0⋅07755647256866802,3⋅6962910548678605,95⋅00000000000001,0⋅3396308511721316
1306893639⋅47,4⋅9407152,4⋅4442117,237⋅2375404,-1⋅0,10⋅4,246⋅9,1516374⋅72044,-539746⋅5067732,-1⋅0,245⋅65694970213045,20704⋅20660407873,298⋅729243823936,0⋅07814973559158056,3⋅6358345365332547,94⋅90000000000002,0⋅3399408905422103
1306893639⋅89,4⋅9401881,4⋅444039,258⋅66142560000003,-1⋅0,10⋅4,246⋅9,1516240⋅0091496,-539821⋅2115,-1⋅0,246⋅6067743531115,25232⋅977357712316,300⋅28848904106184,0⋅07537958033330777,3⋅7013222923765556,93⋅5,0⋅34030068931736346
1306893640⋅73,4⋅9390882,4⋅4436746,307⋅5131332,0⋅7,10⋅4,246⋅9,1515959⋅0708204,-539978⋅4949696,-1⋅0,258⋅4535652264151,30475⋅3446500127,300⋅3766288079934,0⋅0739781504530754,3⋅777214630727303,91⋅5,0⋅3407742457478096
1306893641⋅15,4⋅9385182,4⋅4434837,334⋅7441052,0⋅7,10⋅4,247⋅0,1515813⋅4999496,-540060⋅7784368,-1⋅0,269⋅1413870655162,36827⋅57222032815,299⋅5184286830019,0⋅07262091257145534,3⋅749693723664552,88⋅3,0⋅34131118800502747
1306893641⋅57,4⋅9379408,4⋅4432887,363⋅2546048,1⋅0,10⋅2,247⋅0,1515666⋅059,-540144⋅6367072,-1⋅0,273⋅32025872818485,44940⋅78417322528,298⋅42761291701413,0⋅07227296627245443,3⋅778197564995652,89⋅00000000000001,0⋅3419145782062523
1306893641⋅99,4⋅9373503,4⋅4430876,392⋅74935639999995,1⋅2,10⋅0,247⋅0,1515515⋅3372104,-540231⋅0540328,-1⋅0,280⋅16001494706074,51299⋅0052534887,296⋅9763385945423,0⋅07529716136293971,3⋅811985323015896,86⋅30000000000001,0⋅3425859474101019
1306893642⋅41,4⋅9367445,4⋅4428797,422⋅67061720000004,1⋅5,9⋅7,247⋅1,1515360⋅8424548,-540320⋅3256892,-1⋅0,287⋅7678022216447,55244⋅77393436569,298⋅47315945660915,0⋅07406308355590657,3⋅855741728829466,87⋅4,0⋅3433249128519216
1306893642⋅83,4⋅9361331,4⋅4426682,451⋅9029016,1⋅7,9⋅2,247⋅1,1515204⋅9041296,-540411⋅0081067999,-1⋅0,290⋅6990633868256,59605⋅22967692457,301⋅32047663524276,0⋅07279735620066888,3⋅88207795796255,89⋅19999999999999,0⋅34412757033223657
1306893643⋅25,4⋅9355038,4⋅442449,480⋅4134012,2⋅0,8⋅7,247⋅1,1515044⋅4382452,-540504⋅8729392,-1⋅0,299⋅3360161439776,62298⋅847702350904,302⋅0318933654814,0⋅0717138481814452,3⋅9219589768359358,86⋅9,0⋅34498970943984814
1306893643⋅67,4⋅9348542,4⋅4422212,507⋅67718160000004,2⋅4,8⋅3,247⋅1,1514878⋅8542504,-540602⋅3466956,-1⋅0,309⋅03698294152775,64379⋅990567675,301⋅63956049664034,0⋅0700575617671419,3⋅802824849904856,86⋅9,0⋅34566735598403014
