flight id:401
flight code:Su-27
origin:RU
date:2011-06-01
from:soganlug
to:krymsk
motor(s):2
mass aircraft:17500.032952
mass fuel:17500.032952
lift coef:1.3276531002791723
drag coef:0.012475794761808172

timestamp,longitude,latitude,altitude,roll,pitch,yaw,u,v,heading,air_speed,engine_0,engine_1,temperature_in,humidity_in,pressure_in,heart_rate,oxygen_mask
1306893656.86,3.0185508,5.5781168,24.33,-1.0,-1.5,223.6,298921.22,-49765.27,-1.0,5.4416436108214965,4886457.50161526,4886457.50161526,23.623716249028657,8.028715568195324,25254.13055455203,90.00000000000001,27.36338303215389
1306893677.85,3.0169787,5.5769347,24.33,-1.0,-1.6,223.6,298804.5,-49904.28,-1.0,5.4416436108214965,4433399.143025905,4433399.143025905,25.625500952814214,8.286552765334998,25276.95656601345,93.00000000000001,27.363153373361236
1306893682.28,3.0152431,5.5756295,24.33,-1.0,-1.8,223.6,298675.63,-50057.75,-1.0,41.89567376982276,3496065.538419791,3496065.538419791,25.58130631820274,8.251612857857427,25861.455779273132,92.80000000000001,27.362946680447852
1306893686.07,3.0132552,5.5741347,24.43,-1.0,0.8,223.6,298528.0,-50233.53,-1.0,57.220537849712166,2502052.128708447,2502052.128708447,23.84722668995564,8.132696699842931,25639.23531497253,90.40000000000002,27.36281654046535
1306893686.49,3.0130064,5.5739476,24.49,-1.0,3.9,223.6,298509.53,-50255.53,-1.0,65.04486724748502,1777212.8801093714,1777212.8801093714,24.627087746833404,8.306354647179809,25885.17494074582,89.50000000000003,27.362755298120646
1306893686.91,3.0127525,5.5737566,24.54,-1.0,5.9,223.6,298490.66,-50277.98,-1.0,66.47829045803573,1777212.880109371,1777212.880109371,24.627087746833404,8.306354647179809,25885.17494074582,89.50000000000003,27.362755298120646
1306893687.33,3.0124872,5.5735571,24.57,-1.0,7.2,223.6,298470.97,-50301.44,-1.0,69.57381821092052,2502052.128708447,2502052.128708447,23.847226689955637,8.132696699842933,25639.235314972535,90.4,27.362816540465353
1306893687.75,3.0122218,5.5733575,24.6,-1.0,8.1,223.6,298451.25,-50324.91,-1.0,69.63866457862966,3496065.538419791,3496065.538419791,25.58130631820274,8.251612857857427,25861.455779273136,92.80000000000001,27.36294668044786
1306893688.17,3.0119493,5.5731526,24.6,-1.0,8.7,223.6,298431.03,-50349.0,-1.0,71.53365614042418,4433399.143025906,4433399.143025906,25.62550095281421,8.286552765334998,25276.956566013454,93.0,27.363153373361243
1306893688.59,3.0116719,5.5729439,24.63,-1.0,9.1,223.6,298410.44,-50373.54,-1.0,72.92029011921673,4886457.50161526,4886457.50161526,23.623716249028657,8.028715568195324,25254.130554552034,90.00000000000001,27.36338303215389
1306893689.01,3.0113839,5.5727273,24.76,-1.0,9.7,223.6,298389.03,-50399.01,-1.0,75.87286939073985,4803820.214651794,4803820.214651794,22.95121893612104,7.975592231237406,25524.12047811401,91.0,27.363712209756695
1306893689.43,3.0110984,5.5725125,25.1,-1.0,10.2,223.6,298367.84,-50424.26,-1.0,75.13761826289812,4590472.702933437,4590472.702933437,21.023766632427126,7.703480071448659,24809.664628994287,90.80000000000001,27.364301667324494
1306893689.85,3.0108022,5.5722896,25.77,-1.0,10.5,223.6,298345.84,-50450.47,-1.0,78.13991660751265,4208725.225703263,4208725.225703263,21.622021214667978,7.718320777094484,24251.152467236512,91.2,27.36540402952922
1306893690.27,3.0105029,5.5720643,26.8,-1.0,10.8,223.6,298323.63,-50476.96,-1.0,78.99289921930361,4005391.745808843,4005391.745808843,24.039027392914775,7.560324312646565,24739.70754981033,92.90000000000002,27.36721833399116
1306893692.37,3.0089061,5.5708576,38.16,-1.0,11.0,223.6,298205.06,-50618.8,-1.0,84.85203360985773,4137597.4284555465,4137597.4284555465,22.887970034359093,7.591204945076706,24750.270859971788,92.30000000000001,27.377683119642953
1306893692.79,3.0085725,5.570604,41.6,0.1,11.0,223.6,298180.31,-50648.61,-1.0,89.2677572162984,4158270.7289854283,4158270.7289854283,23.94965599773623,7.379796297875456,24692.905423352502,95.70000000000002,27.390743049651704
1306893693.21,3.0082262,5.5703401,45.51,0.1,10.9,223.6,298154.63,-50679.62,-1.0,92.96924627280248,4642010.724588753,4642010.724588753,24.32590636663802,7.569150930755833,25487.55620649272,92.80000000000001,27.40677323337874
1306893694.89,3.0067598,5.5692131,65.61,0.1,10.8,223.6,298045.88,-50811.98,-1.0,99.32395481385144,5340355.733268614,5340355.733268614,25.254561536355602,7.5077326993958104,25108.80596135788,92.1,27.43816759033412
1306893695.31,3.0063742,5.5689139,71.76,0.4,10.8,223.6,298017.28,-50847.09,-1.0,105.4683606611768,6114403.337765303,6114403.337765303,26.147421215817896,7.276242223275957,25127.87277179533,91.5,27.474269952538844
1306893695.73,3.0059829,5.5686087,78.31,0.5,10.8,223.7,297988.31,-50882.9,-1.0,107.42963596627743,7541140.588265757,7541140.588265757,28.269614092521678,7.516364675351908,25223.968401420396,93.50000000000001,27.515363565837184
