flight id:801
flight code:F-15C
origin:US
date:2011-06-01
from:anapa-vityazevo
to:vaziani
motor(s):2
mass aircraft:29498
mass fuel:29498
lift coef:1.408162940600709
drag coef:0.016385370250972982

timestamp,longitude,latitude,altitude,roll,pitch,yaw,u,v,heading,air_speed,engine_0,engine_1,temperature_in,humidity_in,pressure_in,heart_rate,oxygen_mask
1306893630.65,7.487179,3.1783563,-3.28084,-1.0,-0.8,-1.0,2245197.9393004,-934220.6335696,-1.0,303.5816715974697,9008.481578812305,9008.481578812305,298.013066458874,0.07576092098498481,3.491125232223609,94.10000000000001,0.28925972315463405
1306893631.07,7.4868134,3.1783103,155.64304959999998,-1.0,2.4,-1.0,2245100.5639692,-934248.6191347999,-1.0,303.5816715974697,10034.899300312809,10034.899300312809,299.29246085876366,0.07648230191974374,3.429050327403703,95.60000000000001,0.289254517555334
1306893631.49,7.4864484,3.1782644,155.77428319999999,-1.0,4.7,-1.0,2245003.35268,-934276.4078496,-1.0,159.65793042418497,13353.349084313753,13353.349084313753,298.19086884030236,0.07685747725086324,3.380621424279701,95.1,0.289252527179131
1306893631.91,7.4860695,3.1782167,155.8727084,-1.0,6.3,-1.0,2244902.46685,-934305.31205,-1.0,165.88203772515539,17931.101716150486,17931.101716150486,300.8532724972139,0.07944515350703057,3.3947348245518767,96.0,0.2892519147556839
1306893632.33,7.4856834,3.1781682,155.9383252,-1.0,7.3,-1.0,2244799.7437496,-934334.83961,-1.0,169.01983381369686,21325.089285028247,21325.089285028247,300.64126111092895,0.07859916345325935,3.421180639819588,94.89999999999999,0.28925168509689125
1306893632.75,7.4852914,3.1781188,156.003942,-1.0,7.9,-1.0,2244695.3802292,-934364.6624456,-1.0,171.72038194631227,21325.08928502825,21325.08928502825,300.64126111092895,0.07859916345325935,3.4211806398195885,94.90000000000002,0.2892516850968913
1306893633.17,7.4848934,3.1780688,156.03675040000002,-1.0,8.4,-1.0,2244589.5731392,-934395.1414492,-1.0,174.25051800835467,17931.101716150486,17931.101716150486,300.8532724972139,0.07944515350703057,3.3947348245518776,96.0,0.28925191475568396
1306893633.59,7.4844819,3.178017,156.1351756,-1.0,8.8,-1.0,2244480.0587,-934426.5062796,-1.0,180.43850493703007,13353.349084313757,13353.349084313757,298.19086884030236,0.07685747725086324,3.3806214242796995,95.10000000000001,0.289252527179131
1306893634.01,7.4840754,3.1779659,156.6273016,-1.0,9.2,-1.0,2244371.79098,-934457.5758343999,-1.0,178.36027590990253,10034.89930031281,10034.89930031281,299.29246085876366,0.07648230191974373,3.4290503274037025,95.60000000000001,0.28925451755533393
1306893634.43,7.4836482,3.1779121,157.87402079999998,-1.0,9.7,-1.0,2244258.2082992,-934490.1545756,-1.0,187.33395449898157,9008.481578812305,9008.481578812305,298.013066458874,0.07576092098498481,3.4911252322236095,94.10000000000001,0.2892597231546341
