flight id:101
flight code:MiG-29A
origin:RU
date:2011-06-01
from:kobuleti
to:nalchik
motor(s):2
mass aircraft:10922.041768
mass fuel:10922.041768
lift coef:1.604765498192893
drag coef:0.011066253455886965

timestamp,longitude,latitude,altitude,roll,pitch,yaw,u,v,heading,air_speed,engine_0,engine_1,temperature_in,humidity_in,pressure_in,heart_rate,oxygen_mask
1306893621.61,3.016743,5.5767575,-1.0,-1.0,2.0,-1.0,298787.0,-49925.12,-1.0,41.36980881519973,4295705.335457829,4295705.335457829,22.916723314075984,6.738419363435546,23839.884891554506,90.2,34.9747277908558
1306893624.34,3.0156858,5.5759625,-1.0,-1.0,1.9,-1.0,298708.5,-50018.59,-1.0,41.36980881519973,3398294.6944495123,3398294.6944495123,22.16498234614446,6.846070084513911,23493.159976354393,92.3,34.95576562987593
1306893626.45,3.0147038,5.575224,-1.0,-1.0,1.8,-1.0,298635.56,-50105.43,-1.0,50.403251517092144,2546820.9010321447,2546820.9010321447,23.81155309663059,6.919276509331118,23881.69499530635,91.0,34.936803468896045
1306893628.97,3.0133433,5.5742009,-1.0,-1.0,1.7,-1.0,298534.53,-50225.73,-1.0,58.99244588363753,1783391.4228477473,1783391.4228477473,23.93934029887498,6.759239056078377,24068.16551894324,88.4,34.91784896320925
1306893631.91,3.011488,5.5728056,23.66,-1.0,2.2,-1.0,298396.78,-50389.8,-1.0,70.02160333525305,1218149.6084753368,1218149.6084753368,23.23599240093182,6.864583683887192,24336.64812332147,88.0,34.91778772086455
1306893632.33,3.011199,5.5725882,23.71,-1.0,4.8,-1.0,298375.31,-50415.36,-1.0,76.12781394202852,1218149.608475337,1218149.608475337,23.23599240093182,6.864583683887192,24336.648123321465,88.0,34.91778772086455
1306893632.75,3.0109056,5.5723675,23.74,-1.0,6.5,-1.0,298353.5,-50441.31,-1.0,77.35960574963447,1783391.4228477473,1783391.4228477473,23.93934029887498,6.759239056078375,24068.165518943242,88.4,34.91784896320926
1306893633.17,3.0106078,5.5721436,23.76,-1.0,7.6,-1.0,298331.41,-50467.64,-1.0,78.47983862085287,2546820.9010321447,2546820.9010321447,23.81155309663059,6.919276509331117,23881.69499530635,91.0,34.936803468896045
1306893633.59,3.0103,5.5719121,23.77,-1.0,8.4,-1.0,298308.53,-50494.87,-1.0,81.33111089943529,3398294.6944495123,3398294.6944495123,22.16498234614446,6.84607008451391,23493.15997635439,92.30000000000001,34.95576562987593
1306893634.01,3.0099959,5.5716834,23.77,-1.0,8.8,-1.0,298285.97,-50521.75,-1.0,80.2023111776678,4295705.335457829,4295705.335457829,22.916723314075984,6.738419363435547,23839.884891554506,90.20000000000002,34.9747277908558
1306893634.43,3.0096766,5.5714432,23.79,-1.0,9.2,-1.0,298262.25,-50550.0,-1.0,84.47616810404388,4709977.183147214,4709977.183147214,23.611912091350774,6.969599328643448,24072.18966510349,91.00000000000001,34.99370526242186
1306893634.85,3.0093561,5.5712022,23.85,-1.0,9.5,-1.0,298238.44,-50578.34,-1.0,84.77859588237874,4909571.688778706,4909571.688778706,23.272800997605845,6.903065056603595,24509.85269250914,91.10000000000002,35.012728665746444
1306893635.27,3.0090283,5.5709556,24.07,-1.0,10.0,-1.0,298214.09,-50607.33,-1.0,86.7915921118556,5003769.587201293,5003769.587201293,21.97365046546885,6.902164562675058,24493.84796000939,92.30000000000001,35.03192048551897
1306893635.69,3.0086922,5.5707027,24.53,-1.0,10.3,-1.0,298189.16,-50637.06,-1.0,89.0327576950145,5011423.412342837,5011423.412342837,23.85199408193409,7.053377810522066,25125.804894858098,93.6,35.051464448773565
1306893636.11,3.0083541,5.5704483,25.3,-1.0,10.5,-1.0,298164.03,-50666.98,-1.0,89.69845014000383,5115259.164674375,5115259.164674375,24.52909975142603,6.9845479521081,24497.12822290311,93.7,35.05271991684006
1306893640.73,3.0041807,5.5672813,57.59,-1.0,10.8,-1.0,297854.25,-51039.15,-1.0,101.69215494075546,5408616.327147197,5408616.327147197,22.80524039126857,7.20782222230367,23986.142715960756,93.4,35.07865604982344
1306893641.57,3.0032986,5.5666018,69.15,0.4,10.7,-1.0,297788.84,-51118.94,-1.0,120.24660637288103,5682221.050023141,5682221.050023141,22.953696217621832,7.223229056581192,24465.932962855408,95.0,35.113418735737696
1306893641.99,3.002843,5.5662483,75.69,0.5,10.7,-1.0,297755.06,-51160.44,-1.0,125.00416883473669,6839893.162604545,6839893.162604545,23.687480636101473,7.0012886207042975,24445.113560009933,92.2,35.15317267274557
1306893642.41,3.0023762,5.5658825,82.78,0.6,10.7,-1.0,297720.5,-51203.34,-1.0,128.89340506480391,8604122.407874726,8604122.407874726,24.693234302758015,7.244802124538539,24986.458656759038,91.19999999999999,35.19834655726
1306893643.25,3.0014249,5.5651261,98.22,0.9,10.7,-1.0,297650.13,-51292.01,-1.0,132.6514928383893,10834653.215679163,10834653.215679163,25.37748616674312,7.489947866891036,25184.719570877136,90.7,35.25534021430287
1306893643.67,3.0009289,5.5647285,106.63,1.1,10.3,-1.0,297613.44,-51338.59,-1.0,139.22992188923695,13693300.243728282,13693300.243728282,25.216072404177122,7.500623756880899,25001.73797176996,92.30000000000001,35.31875666224688
1306893644.09,3.0004289,5.5643261,115.15,1.4,10.1,-1.0,297576.47,-51385.73,-1.0,140.71017278069925,16556047.361220397,16556047.361220397,27.11698742768108,7.801836663005124,25129.51942259455,92.10000000000002,35.38864948814364
1306893644.51,2.9999151,5.563911,123.82,1.7,9.8,-1.0,297538.5,-51434.35,-1.0,144.95732360004178,18574109.393013716,18574109.393013716,27.342697306065357,7.973351371439817,25361.6131684949,89.80000000000001,35.46501103670007
1306893644.93,2.9993971,5.5634909,132.35,2.0,9.6,223.9,297500.25,-51483.55,-1.0,146.39201468585958,20343256.485880934,20343256.485880934,27.52981289761394,7.802519785737105,25118.857306883667,91.9,35.54755040677881
1306893645.35,2.9988622,5.5630555,140.89,2.4,9.4,223.9,297460.72,-51534.52,-1.0,151.54295833376128,21650233.49187014,21650233.49187014,27.934994370657705,7.8544633983607905,25886.032148781735,93.60000000000002,35.63603793958721
1306893645.77,2.9983199,5.562613,149.2,2.8,9.4,224.0,297420.66,-51586.32,-1.0,153.7840721324096,22657582.57220925,22657582.57220925,27.361749836343968,7.525974580734308,26461.36426417413,93.80000000000001,35.70616807956971
1306893646.19,2.9977603,5.562156,157.42,3.2,9.4,224.0,297379.34,-51639.8,-1.0,158.71605213906656,23838900.081569538,23838900.081569538,28.094670689210105,7.8279026207686435,26501.901167242788,91.70000000000002,35.7737413516607
1306893646.61,2.9971898,5.5616918,165.41,3.6,9.4,224.0,297337.19,-51694.15,-1.0,161.47909676803025,25390790.9674546,25390790.9674546,27.723520583852455,8.09437774513918,27074.388716723643,93.4,35.8424246412495
1306893647.03,2.9966083,5.5612203,173.19,3.9,9.4,224.2,297294.22,-51749.37,-1.0,164.23790389512308,27052270.10294136,27052270.10294136,27.030570587829885,7.9669102744170575,26567.055696008258,94.70000000000002,35.911636146061404
1306893647.46,2.9960012,5.56073,180.99,4.3,9.2,224.3,297249.34,-51806.79,-1.0,167.0718928842833,28560904.718643647,28560904.718643647,26.01818116641909,7.958719837129011,26245.339692831993,94.5,35.974999006953794
