flight id:401
flight code:Su-27
origin:RU
date:2011-06-01
from:soganlug
to:vaziani
motor(s):2
mass aircraft:17500.032952
mass fuel:17500.032952
lift coef:1.3276531002791723
drag coef:0.012475794761808172

timestamp,longitude,latitude,altitude,roll,pitch,yaw,v,heading,air_speed,engine_0,engine_1,temperature_in,humidity_in,pressure_in,heart_rate,oxygen_mask
1306893656.86,3.0185508,5.5781168,24.33,-1.0,-1.5,223.6,-49765.27,-1.0,5.4416436108214965,4886457.50161526,4886457.50161526,30.405859194894173,7.495322172065136,24586.385462678583,92.8,28.87593110814514
1306893677.85,3.0169787,5.5769347,24.33,-1.0,-1.6,223.6,-49904.28,-1.0,5.4416436108214965,4433399.143025905,4433399.143025905,31.596678026249563,7.369415415719566,24903.569686004383,92.69999999999999,28.875701449352487
1306893682.28,3.0152431,5.5756295,24.33,-1.0,-1.8,223.6,-50057.75,-1.0,41.89567376982276,3496065.538419791,3496065.538419791,29.096555804806158,7.142679555836004,24505.21771312966,91.6,28.875494756439103
1306893686.07,3.0132552,5.5741347,24.43,-1.0,0.8,223.6,-50233.53,-1.0,57.220537849712166,2502052.128708447,2502052.128708447,29.91658882830619,7.273391326244462,23909.224883050054,89.30000000000001,28.875364616456597
1306893686.49,3.0130064,5.5739476,24.49,-1.0,3.9,223.6,-50255.53,-1.0,65.04486724748502,1777212.8801093714,1777212.8801093714,29.161696033071447,7.150902145646507,23388.905711650976,89.00000000000001,28.87530337411189
1306893686.91,3.0127525,5.5737566,24.54,-1.0,5.9,223.6,-50277.98,-1.0,66.47829045803573,1777212.880109371,1777212.880109371,29.161696033071443,7.150902145646507,23388.905711650976,89.0,28.875303374111887
1306893687.33,3.0124872,5.5735571,24.57,-1.0,7.2,223.6,-50301.44,-1.0,69.57381821092052,2502052.128708447,2502052.128708447,29.91658882830619,7.273391326244463,23909.22488305006,89.3,28.875364616456594
1306893687.75,3.0122218,5.5733575,24.6,-1.0,8.1,223.6,-50324.91,-1.0,69.63866457862966,3496065.538419791,3496065.538419791,29.096555804806158,7.142679555836004,24505.21771312967,91.60000000000001,28.8754947564391
1306893688.17,3.0119493,5.5731526,24.6,-1.0,8.7,223.6,-50349.0,-1.0,71.53365614042418,4433399.143025906,4433399.143025906,31.596678026249556,7.3694154157195655,24903.569686004386,92.70000000000002,28.875701449352484
1306893688.59,3.0116719,5.5729439,24.63,-1.0,9.1,223.6,-50373.54,-1.0,72.92029011921673,4886457.50161526,4886457.50161526,30.40585919489417,7.495322172065137,24586.38546267859,92.80000000000001,28.87593110814513
1306893689.01,3.0113839,5.5727273,24.76,-1.0,9.7,223.6,-50399.01,-1.0,75.87286939073985,4803820.214651794,4803820.214651794,29.79082541184468,7.314084080576019,24574.90725718187,93.70000000000002,28.87626028574793
1306893689.43,3.0110984,5.5725125,25.1,-1.0,10.2,223.6,-50424.26,-1.0,75.13761826289812,4590472.702933437,4590472.702933437,27.303326158252943,7.2271544876597895,24563.317865266545,94.30000000000001,28.876849743315738
1306893689.85,3.0108022,5.5722896,25.77,-1.0,10.5,223.6,-50450.47,-1.0,78.13991660751265,4208725.225703263,4208725.225703263,28.01921182095191,7.340215576085273,25289.137564684566,92.4,28.87795210552046
1306893690.27,3.0105029,5.5720643,26.8,-1.0,10.8,223.6,-50476.96,-1.0,78.99289921930361,4005391.745808843,4005391.745808843,28.320735660149026,7.148094181371439,25757.300303203505,93.7,28.879766409982402
