flight id:901
flight code:F-16A
origin:US
date:2011-06-01
from:maykop-khanskaya
to:krasnodar center
motor(s):1
mass aircraft:19518
mass fuel:19518
lift coef:2.2203235305245417
drag coef:0.01657331436821066

timestamp,longitude,latitude,altitude,roll,pitch,u,v,heading,air_speed,engine_0,temperature_in,humidity_in,pressure_in,heart_rate,oxygen_mask
1306893618.24,4.9564642,4.4491639,-3.28084,-1.0,-0.3,1520405.9541648,-537590.896468,-1.0,65.3907155960535,10209.65804446213,298.0978680446061,0.06998126974203814,3.851530415004347,81.00000000000003,0.2869428578321996
1306893621.61,4.9552532,4.4487855,-3.28084,-1.0,-0.4,1520095.9147847998,-537755.8242948,-1.0,65.3907155960535,7475.002176713008,299.9414400886108,0.07107469895707105,3.863409486059417,80.9,0.2866914580071777
1306893623.08,4.9545765,4.448574,-3.28084,-1.0,-0.5,1519922.7520496,-537847.9830904,-1.0,85.26902369522706,4786.527691872601,301.13850422859946,0.06930408597260437,3.86814217275779,81.60000000000001,0.2864402878409485
1306893624.34,4.9539183,4.4483683,-3.28084,-1.0,-0.6,1519754.1824904,-537937.6484476001,-1.0,97.5841655559344,3511.598310163382,299.6594783929045,0.07187681620149972,3.8953820984370755,79.7,0.2861895004393737
1306893625.18,4.953448,4.4482213,-3.28084,-1.0,-0.7,1519633.8412792,-538001.6904444,-1.0,104.90352587223389,2796.112625944731,300.0268672784493,0.07387972469378662,3.868198922465047,80.4,0.28593924890831507
1306893626.03,4.9529339,4.4480607,103.7401608,-1.0,-0.8,1519502.18117,-538071.70357,-1.0,142.5955274267805,2796.112625944731,300.0268672784493,0.07387972469378662,3.868198922465047,80.4,0.28593924890831507
1306893630.65,4.949627,4.4470271,103.96981960000001,-1.0,0.9,1518655.6260248,-538522.0644767999,-1.0,135.73594221829444,3511.5983101633824,299.6594783929045,0.07187681620149973,3.8953820984370755,79.70000000000002,0.2861895004393737
1306893631.07,4.949276,4.4469174,104.1994784,-1.0,3.8,1518565.6982004,-538569.8663156,-1.0,159.53875510366424,4786.5276918726,301.13850422859946,0.06930408597260439,3.86814217275779,81.6,0.2864402878409485
1306893631.49,4.9489257,4.4468079,104.3635204,-1.0,5.6,1518476.0000347998,-538617.5697292,-1.0,159.13331076631917,7475.002176713007,299.9414400886108,0.07107469895707105,3.863409486059417,80.9,0.2866914580071777
1306893631.91,4.948562,4.4466942,104.46194559999999,-1.0,6.9,1518382.8897956,-538667.1104132,-1.0,165.41961855091506,10209.65804446213,298.0978680446061,0.06998126974203815,3.851530415004347,81.00000000000001,0.2869428578321996
1306893632.33,4.9481915,4.4465784,104.5603708,-1.0,7.7,1518288.0735196,-538717.5697324,-1.0,168.5630761304387,12956.451973570056,298.2428350900177,0.07145712597987748,3.748488715848737,84.60000000000001,0.2871944873160141
1306893632.75,4.9478153,4.4464608,104.6259876,-1.0,8.2,1518191.6824404,-538768.7836448,-1.0,171.3977193687882,15631.142241219646,296.61675911072115,0.07078613305121792,3.819062265079359,85.2,0.2874462699056904
1306893633.17,4.9474334,4.4463415,104.658796,-1.0,8.6,1518093.9790252,-538820.8177672,-1.0,173.8971110762253,17365.246677780655,296.9243243381385,0.07066456760925266,3.7991769398875435,85.10000000000001,0.28769812904829756
1306893633.59,4.9470386,4.446218,105.01968839999999,-1.0,9.0,1517992.8963448,-538874.5907348,-1.0,180.06690503738636,17999.5914730302,297.61009758518594,0.07018420770055137,3.73436647728845,87.2,0.28795083027314444
1306893634.01,4.9466486,4.4460961,105.97113199999998,-1.0,9.6,1517893.0275752002,-538927.7075344,-1.0,177.83395314897018,18630.05088876251,297.26399295583496,0.0712477343024869,3.6477890262999595,87.80000000000001,0.28820575153298694
1306893634.43,4.9462387,4.4459679,107.9068276,-1.0,9.9,1517788.0406952,-538983.5802396,-1.0,187.28462632655263,18515.569878961014,296.4997047317162,0.07317882339561893,3.691215892306421,89.00000000000001,0.2882154737552092
