timestamp,longitude,latitude,altitude,roll,pitch,yaw,u,v,heading,air_speed,engine_0,temperature_in,humidity_in,pressure_in,heart_rate,oxygen_mask
1306893618.24,4.9564642,4.4491639,-3.28084,-1.0,-0.3,-1.0,1520405.9541648,-537590.896468,-1.0,65.3907155960535,10209.65804446213,293.24838218879137,0.07259126356328044,3.5310448892097273,88.60000000000001,0.27162796593865496
1306893621.61,4.9552532,4.4487855,-3.28084,-1.0,-0.4,-1.0,1520095.9147847998,-537755.8242948,-1.0,65.3907155960535,7475.002176713008,293.9346563268752,0.07314550710406711,3.4485248969802633,87.10000000000001,0.27137656611363303
1306893623.08,4.9545765,4.448574,-3.28084,-1.0,-0.5,-1.0,1519922.7520496,-537847.9830904,-1.0,85.26902369522706,4786.527691872601,292.6461298310692,0.07109141337641418,3.4518645671652304,86.9,0.27112539594740387
1306893624.34,4.9539183,4.4483683,-3.28084,-1.0,-0.6,-1.0,1519754.1824904,-537937.6484476001,-1.0,97.5841655559344,3511.598310163382,293.5373870861816,0.07431145571379563,3.3554837154535213,90.50000000000001,0.27087460854582907
1306893625.18,4.953448,4.4482213,-3.28084,-1.0,-0.7,-1.0,1519633.8412792,-538001.6904444,-1.0,104.90352587223389,2796.112625944731,292.86722077629616,0.07162853469674035,3.325156573828305,89.7,0.27062435701477044
1306893626.03,4.9529339,4.4480607,103.7401608,-1.0,-0.8,-1.0,1519502.18117,-538071.70357,-1.0,142.5955274267805,2796.112625944731,292.86722077629616,0.07162853469674035,3.325156573828305,89.7,0.27062435701477044
1306893630.65,4.949627,4.4470271,103.96981960000001,-1.0,0.9,-1.0,1518655.6260248,-538522.0644767999,-1.0,135.73594221829444,3511.5983101633824,293.5373870861816,0.07431145571379565,3.3554837154535213,90.5,0.27087460854582907
1306893631.07,4.949276,4.4469174,104.1994784,-1.0,3.8,-1.0,1518565.6982004,-538569.8663156,-1.0,159.53875510366424,4786.5276918726,292.6461298310692,0.0710914133764142,3.4518645671652304,86.9,0.27112539594740387
1306893631.49,4.9489257,4.4468079,104.3635204,-1.0,5.6,-1.0,1518476.0000347998,-538617.5697292,-1.0,159.13331076631917,7475.002176713007,293.9346563268752,0.07314550710406711,3.448524896980263,87.10000000000001,0.2713765661136331
1306893631.91,4.948562,4.4466942,104.46194559999999,-1.0,6.9,-1.0,1518382.8897956,-538667.1104132,-1.0,165.41961855091506,10209.65804446213,293.24838218879137,0.07259126356328044,3.531044889209727,88.60000000000001,0.27162796593865496
1306893632.33,4.9481915,4.4465784,104.5603708,-1.0,7.7,-1.0,1518288.0735196,-538717.5697324,-1.0,168.5630761304387,12956.451973570056,295.37294958019663,0.07390219341729297,3.5540395568830028,87.10000000000001,0.2718795954224695
1306893632.75,4.9478153,4.4464608,104.6259876,-1.0,8.2,-1.0,1518191.6824404,-538768.7836448,-1.0,171.3977193687882,15631.142241219646,297.0529438003819,0.07702299112546898,3.647502202864624,88.30000000000001,0.27213137801214576
1306893633.17,4.9474334,4.4463415,104.658796,-1.0,8.6,-1.0,1518093.9790252,-538820.8177672,-1.0,173.8971110762253,17365.246677780655,298.99169329317556,0.07905296245774503,3.691439845973799,88.30000000000001,0.27238323715475293
1306893633.59,4.9470386,4.446218,105.01968839999999,-1.0,9.0,-1.0,1517992.8963448,-538874.5907348,-1.0,180.06690503738636,17999.5914730302,299.46954029857795,0.07597261423799348,3.6995018087511147,85.10000000000001,0.2726359383795998
1306893634.01,4.9466486,4.4460961,105.97113199999998,-1.0,9.6,-1.0,1517893.0275752002,-538927.7075344,-1.0,177.83395314897018,18630.05088876251,301.1225277980463,0.07700163784593722,3.775733824651744,86.7,0.2728908596394423
1306893634.43,4.9462387,4.4459679,107.9068276,-1.0,9.9,-1.0,1517788.0406952,-538983.5802396,-1.0,187.28462632655263,18515.569878961014,300.4295871150142,0.07592540887115687,3.8351939625837095,89.2,0.2729005818616645
1306893634.85,4.9458271,4.4458391,110.92520040000001,-1.0,10.1,-1.0,1517682.7585396,-539039.6497952,-1.0,187.893673661689,18604.95302543021,300.298127423624,0.07349424211107677,3.7826550016719525,88.4,0.27291681108301186
1306893639.05,4.9412414,4.4443828,217.2572248,-1.0,10.5,246.9,1516509.3333052,-539672.4582144,-1.0,211.28508237095576,19678.752720639393,299.7746030314063,0.07327268443618133,3.7350113921355548,91.3,0.27318061248283687
1306893639.47,4.9407152,4.4442117,237.2375404,-1.0,10.4,246.9,1516374.72044,-539746.5067732,-1.0,245.65694970213045,20704.20660407873,297.6226057008199,0.07164109728958108,3.8015886102962613,87.9,0.2734906518529156
1306893639.89,4.9401881,4.444039,258.66142560000003,-1.0,10.4,246.9,1516240.0091496,-539821.2115,-1.0,246.6067743531115,25232.977357712316,298.8511594715911,0.07497472354006286,3.7990663558242277,86.4,0.2738504506280688
1306893640.73,4.9390882,4.4436746,307.5131332,0.7,10.4,246.9,1515959.0708204,-539978.4949696,-1.0,258.4535652264151,30475.3446500127,297.5018233754373,0.07186492584894878,3.7732301734099605,89.2,0.27432400705851495
1306893641.15,4.9385182,4.4434837,334.7441052,0.7,10.4,247.0,1515813.4999496,-540060.7784368,-1.0,269.1413870655162,36827.57222032815,296.2632861475171,0.07141750781127026,3.789572911054719,90.4,0.2748609493157328
1306893641.57,4.9379408,4.4432887,363.2546048,1.0,10.2,247.0,1515666.059,-540144.6367072,-1.0,273.32025872818485,44940.78417322528,294.6806038401624,0.06915153620284413,3.7458929977688475,88.60000000000002,0.27546433951695765
1306893641.99,4.9373503,4.4430876,392.74935639999995,1.2,10.0,247.0,1515515.3372104,-540231.0540328,-1.0,280.16001494706074,51299.0052534887,294.8606879504117,0.07104399385359769,3.837394904747579,89.00000000000001,0.27613570872080717
